t_rel_s,sim_Little_deg,real_Little_deg
3.3240,6.8756,0.0000
3.3280,6.8754,0.0000
3.3320,6.8756,0.0000
3.3360,6.8754,0.0000
3.3400,6.8756,0.0000
3.3440,6.8754,0.0000
3.3480,6.8756,0.0000
3.3520,6.8754,0.0000
3.3560,6.8756,0.0000
3.3600,6.8754,0.0000
3.3640,6.8756,0.0000
3.3680,6.8754,0.0000
3.3720,6.8756,0.0000
3.3760,6.8754,0.0000
3.3800,6.8756,0.0000
3.3840,6.8754,0.0000
3.3880,6.8756,0.0000
3.3920,6.8754,0.0000
3.3960,6.8756,0.0000
3.4000,6.8754,0.0000
3.4040,6.8756,0.0000
3.4080,6.8754,0.0000
3.4120,6.8756,0.0000
3.4160,6.8754,0.0000
3.4200,6.8756,0.0000
3.4240,6.8754,0.0000
3.4280,6.8756,0.0000
3.4320,6.8754,0.0000
3.4360,6.8756,0.0000
3.4400,6.8754,0.0000
3.4440,6.8756,0.0000
3.4480,6.8754,0.0000
3.4520,6.8756,0.0000
3.4560,6.8754,0.0000
3.4600,6.8756,0.0000
3.4640,6.8754,0.0000
3.4680,6.8756,0.0000
3.4720,6.8754,0.0000
3.4760,6.8756,0.0000
3.4800,6.8754,0.0000
3.4840,6.8756,0.0000
3.4880,6.8754,0.0000
3.4920,6.8756,0.0000
3.4960,6.8754,0.0000
3.5000,6.8756,0.0000
3.5040,6.8754,0.0000
3.5080,6.8756,0.0000
3.5120,6.8754,0.0000
3.5160,6.8756,0.0000
3.5200,6.8754,0.0000
3.5240,6.8756,0.0000
3.5280,6.8754,0.0000
3.5320,6.8756,0.0000
3.5360,6.8754,0.0000
3.5400,6.8756,0.0000
3.5440,6.8754,0.0000
3.5480,6.8756,0.0000
3.5520,6.8754,0.0000
3.5560,6.8756,0.0000
3.5600,6.8754,0.0000
3.5640,6.8756,0.0000
3.5680,6.8754,0.0000
3.5720,6.8756,0.0000
3.5760,6.8754,0.0000
3.5800,6.8756,0.0000
3.5840,6.8754,0.0000
3.5880,6.8756,0.0000
3.5920,6.8754,0.0000
3.5960,6.8756,0.0000
3.6000,6.8754,0.0000
3.6040,6.8756,0.0000
3.6080,6.8754,0.0000
3.6120,6.8756,0.0000
3.6160,6.8754,0.0000
3.6200,6.8756,0.0000
3.6240,6.8754,0.0000
3.6280,6.8756,0.0000
3.6320,6.8754,0.0000
3.6360,6.8756,0.0000
3.6400,6.8754,0.0000
3.6440,6.8756,0.0000
3.6480,6.8754,0.0000
3.6520,6.8756,0.0000
3.6560,6.8754,0.0000
3.6600,6.8756,0.0000
3.6640,6.8754,0.0000
3.6680,6.8756,0.0000
3.6720,6.8754,0.0000
3.6760,6.8756,0.0000
3.6800,6.8754,0.0000
3.6840,6.8756,0.0000
